# zmin      zmax        nz_BGS     bias_BGS    nz_LRG    bias_LRG    nz_ELG    bias_ELG    nz_QSO     bias_QSO    volume
0.00        0.10        1165.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         0.04
0.10        0.20        3074.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         0.23
0.20        0.30        1909.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         0.58
0.30        0.40         732.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         1.04
0.40        0.50         120.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         1.55
0.50        0.60           0.0       1.34       0.0       1.7         0.0        0.84         0.0       1.2         0.00
0.60        0.70           0.0       1.34     832.0       1.7       309.0        0.84        47.0       1.2         2.63
0.70        0.80           0.0       1.34     986.0       1.7      2269.0        0.84        55.0       1.2         3.15
0.80        0.90           0.0       1.34     662.0       1.7      1923.0        0.84        61.0       1.2         3.65
0.90        1.00           0.0       1.34     272.0       1.7      2094.0        0.84        67.0       1.2         4.10
1.00        1.10           0.0       1.34      51.0       1.7      1441.0        0.84        72.0       1.2         4.52
1.10        1.20           0.0       1.34      17.0       1.7      1353.0        0.84        76.0       1.2         4.89
1.20        1.30           0.0       1.34       0.0       1.7      1337.0        0.84        80.0       1.2         5.22
1.30        1.40           0.0       1.34       0.0       1.7       523.0        0.84        83.0       1.2         5.50
1.40        1.50           0.0       1.34       0.0       1.7       466.0        0.84        85.0       1.2         5.75
1.50        1.60           0.0       1.34       0.0       1.7       329.0        0.84        87.0       1.2         5.97
1.60        1.70           0.0       1.34       0.0       1.7       126.0        0.84        87.0       1.2         6.15
1.70        1.80           0.0       1.34       0.0       1.7         0.0        0.84        87.0       1.2         6.30
1.80        1.90           0.0       1.34       0.0       1.7         0.0        0.84        86.0       1.2         6.43
